id_col;num;title_example;formal_repr;sem_restr;comment;id_verb
1;1.1;Дети бегают.;Noun (nominative) Verb ;;1
2;1.2;Ученики бегают в школу.;Noun (nominative) Verb {Adverb / Prep. куда + Noun };;1
3;1.3;Они бегали у дома.;Noun (nominative) Verb {Adverb / Prep. где + Noun };;1
4;1.4;Ребята бегали по саду.;Noun (nominative) Verb Prep. траект + Noun ;;1
5;1.5;Он каждый день бегал на уроки.;Noun (nominative) Verb на + Noun (accusative);;1
6;1.6;Он отлично бегал на лыжах.;Noun (nominative) Verb на + Noun loc;;1
7;1.7;Женщины бегали со дворов на улицу.;Noun (nominative) Verb Prep. откуда + Noun Prep. куда + Noun ;;1
8;2.1;Глаза у него бегают.;Noun (nominative) Verb у + Noun (genitive);;1
9;3.1;Он бегает от дела.;Noun (nominative) Verb от + Noun (genitive);;1
10;4.1;Глаза ее бегали по строкам.;Noun (nominative) Verb по + Noun (dative);;1
11;4.1;Пальцы пианиста бегают по клавишам.;Noun (nominative) Verb по + Noun (dative);;1
12;4.1;Тени бегали по стенам.;Noun (nominative) Verb по + Noun (dative);;1
13;4.2;Старик бегал глазами по строчкам письма.;Noun (nominative) Verb Noun (instrumental) по + Noun (dative);;1
14;99i1;бегать по делам;Noun (nominative) Verb по + делам;;1
15;99i2;мурашки бегают по спине;мурашки Verb по + спине [у + Noun (genitive)];;1
16;99i3;бежать взапуски;Noun (nominative) Verb взапуски;;1
17;99i3;злые огоньки бегают в глазах;злые + огоньки Verb в + глазах;;1
18;99i4;бежать очертя/сломя голову;Noun (nominative) Verb {очертя / сломя} голову;;1
19;1.1;Жеребец бежит.;Noun (nominative) Verb ;;2
20;1.2;Откуда вы бежите?;Noun (nominative) Verb {Adverb / Prep. откуда + Noun };;2
21;1.3;Олени бегут на водопой.;Noun (nominative) Verb {Adverb / Prep. куда + Noun };;2
22;1.4;Олени стремительно бежали через поляну.;Noun (nominative) Verb Prep. траект + Noun ;;2
23;1.5;бежать на концерт;Noun (nominative) Verb на + Noun (accusative);;2
24;1.6;Он бежит за врачом.;Noun (nominative) Verb за + Noun (instrumental);;2
25;1.7;Мама бежит делать покупки.;Noun (nominative) Verb Verb (infinitive);;2
26;1.8;И Гопчик сзади зайчишкой бежит.;Noun (nominative) Verb Noun (instrumental) {Adverb / Prep. где + Noun };;2
27;1.9;Он бежит узкой улицей.;Noun (nominative) Verb Noun (instrumental);;2
28;1.10;Лошади бежали бодрой рысцой по дороге.;Noun (nominative) Verb Noun (instrumental) Prep. траект + Noun ;;2
29;1.11;Скороход бежал перед ним;Noun (nominative) Verb {Adverb / Prep. где + Noun };;2
30;1.12;Я бегу домой записать их.;Noun (nominative) Verb {Adverb / Prep. куда + Noun } Verb (infinitive);;2
31;1.13;Но на выстрел уже бежали люди;Noun (nominative) Verb на + Noun (accusative);;2
32;1.14;На ловца и зверь бежит;Noun (nominative) Verb {Adverb / Prep. куда + Noun };;2
33;1.15;Туристы бегут за ними к автобусам;Noun (nominative) Verb {Adverb / Prep. куда + Noun } за + Noun (instrumental);;2
